Название|Адрес|Долгота|Широта
Кедр, аптека|Зорге, 129/4|82.923017564509|54.935367121793
Кедр, аптека|Морской проспект, 3|83.110575428342|54.840428257876
Солнышко, ООО, аптека|Колхидская, 11|82.816505612836|54.989795099131
Солнышко, ООО, аптека|Карла Маркса проспект, 43|82.907362517005|54.990096654384
Солнышко, ООО, аптека|Учительская, 17|82.96992992434|55.077477704228
Солнышко, ООО, аптека|Титова, 1|82.889427808594|54.982039554101
Солнышко, ООО, аптека|Доватора, 128/1|83.001066048895|55.036151733847
Солнышко, ООО, аптека|Богдана Хмельницкого, 35|82.951273829847|55.074814380978
Солнышко, ООО, аптека|Мичурина, 23|82.92124558814|55.041147045994
Аптека, ООО ДНК|Горский микрорайон, 43|82.896199686599|54.992963278333
Знахарь, аптека|Кошурникова, 11/1|82.960922848844|55.042142928049
Планета здоровья, аптека|Горский микрорайон, 67|82.8922171386305|54.995278397936
Холидей, аптека|Горский микрорайон, 86|82.886778617774|54.993687687574
Ваше здоровье, ООО, сеть аптек|Рассветная, 5/1|82.967048759057|55.108823938475
Ваше здоровье, ООО, сеть аптек|Котовского, 10|82.880066097652|54.993420833151
Иммунитет, ООО, аптека|Карла Маркса площадь, 3|82.891261492656|54.98362115031
Ритм, ООО, сеть аптечных пунктов|Горский микрорайон, 64|82.893791989803|54.993271912603
Ритм, ООО, сеть аптечных пунктов|Сибиряков-Гвардейцев, 57/2|82.898135058744|54.93849697743
Ритм, ООО, сеть аптечных пунктов|Часовая, 1|82.989771333258|54.86506937781
Ритм, ООО, сеть аптечных пунктов|Арбузова, 1/1|83.105755024572|54.872464527455
Домашняя аптека, ООО Хедж|Карла Маркса проспект, 2 / Ватутина, 29|82.897671921005|54.98293424874
Ваше здоровье, ООО, сеть аптек|Ватутина, 21|82.893556416854|54.985236222926
Аптека 36.6, национальная аптечная сеть|Ватутина, 33|82.899420581241|54.981958244475
Аптека 36.6, национальная аптечная сеть|Красный проспект, 69|82.916168506856|55.044395951059
Дружба, аптека|Черемховская, 20|82.994198788855|55.027449030681
Аптечный пункт, ООО Арон|Ленина, 7/1|83.120760584151|55.056097564831
Фармакопейка, сеть аптек-дискаунтеров|Гоголя, 19|82.927275560407|55.043248859228
Фармакопейка, сеть аптек-дискаунтеров|Дуси Ковальчук, 18|82.888290064792|55.049439592536
Моя Аптека, сеть аптек|Шлюзовая, 26 к1|83.044226829024|54.852288621007
Моя Аптека, сеть аптек|Русская, 5|83.041207632993|54.84825699783
Моя Аптека, сеть аптек|Выборная, 122|83.009719556601|54.999323683826
Моя Аптека, сеть аптек, н.п. Кольцово|Кольцово пос, 17|83.184257952276|54.942470270621
Моя Аптека, сеть аптек|Учительская, 8|82.975633794022|55.074543020999
Моя Аптека, сеть аптек|Южный микрорайон, 38|83.287151410702|54.61250671008
Моя Аптека, сеть аптек|Пушкина, 91|83.305828995308|54.632006045249
Моя Аптека, сеть аптек|Иванова, 30|83.09227703498|54.867908694763
